;gender;name;birth_date;now_available;languages_spoken;price;education;biography;keywords;current_location;experience
16;male;James Delacruz;1961-12-10;True;['spanish', 'bulgarian', 'french'];32;middle-school;Multimedia programmer;['countryside', 'music', 'beer'];{'lat': 40.32347428820915, 'lon': 18.164571467568365};20
17;male;Joseph Sharp;2003-06-03;True;['dutch'];26;master;Legal secretary;['wine', 'sport', 'art'];{'lat': 40.36624424923941, 'lon': 18.174443383782105};3
18;male;Robert Fields;1963-07-03;True;['italian', 'dutch'];24;bachelor;Office manager;['food'];{'lat': 40.362871505646005, 'lon': 18.182927778012097};10
19;female;Deborah Scott;1963-03-02;True;['bulgarian', 'deutsche', 'english'];35;middle-school;Multimedia programmer;[];{'lat': 40.339915788807765, 'lon': 18.183797816602628};11
20;female;Lydia Jordan;1962-05-06;True;['deutsche', 'french'];43;master;Editor, magazine features;['rafting', 'museums', 'food'];{'lat': 40.357612936236265, 'lon': 18.169078982902864};18
21;male;Michael Rivera;1973-07-30;True;['chinese'];26;high-school;Warehouse manager;['cinema'];{'lat': 40.342846292499104, 'lon': 18.160897606622324};27
22;female;Susan Foster;1982-02-10;True;['chinese', 'spanish'];25;high-school;Exhibitions officer, museum/gallery;['history', 'countryside', 'cinema', 'literature', 'music'];{'lat': 40.36846436096489, 'lon': 18.171263566798768};12
23;female;Erika Parker;1991-12-10;True;['english', 'italian', 'bulgarian'];20;middle-school;Broadcast journalist;['tracking'];{'lat': 40.364408581391295, 'lon': 18.164281246222};12
24;female;Megan Hall;1962-09-13;True;['dutch', 'italian', 'bulgarian'];28;high-school;Holiday representative;[];{'lat': 40.32998981194129, 'lon': 18.175342312953067};19
25;female;Evelyn Campbell;1990-08-21;True;['bulgarian'];31;phd;Air broker;['literature'];{'lat': 40.36710284805045, 'lon': 18.179956956220416};3
26;male;Billy Mcintyre;1992-07-31;True;['dutch'];30;phd;Administrator, sports;['tracking', 'beer', 'museums'];{'lat': 40.37981446263931, 'lon': 18.178854600762087};14
27;female;Terri Decker;2000-10-25;True;['italian'];30;phd;Counsellor;['countryside', 'beer'];{'lat': 40.3457074414046, 'lon': 18.17476546759095};3
28;female;Jennifer West;1986-03-01;True;['spanish'];25;middle-school;Television floor manager;['food', 'rafting', 'museums', 'music', 'art', 'tracking'];{'lat': 40.35079556972286, 'lon': 18.181927024244384};7
29;female;Courtney Cox;1980-10-07;True;['bulgarian', 'chinese'];28;master;Designer, industrial/product;['archeology', 'literature', 'tracking'];{'lat': 40.35465462623879, 'lon': 18.172666005109477};20
30;female;Alyssa Rogers;1993-03-23;True;['french', 'deutsche', 'english'];27;bachelor;Broadcast journalist;['music'];{'lat': 40.361047668976795, 'lon': 18.186334846906};1
31;male;Douglas Baker;1975-02-17;True;['deutsche', 'french', 'english'];23;master;Building services engineer;['music', 'countryside', 'food'];{'lat': 40.339171732936364, 'lon': 18.167925902199894};5
32;female;Alison Mccarthy;1994-11-12;True;['french', 'bulgarian'];28;phd;Geochemist;['archeology', 'music'];{'lat': 40.343414579847, 'lon': 18.185655628052885};11
33;male;Patrick Holmes;1963-07-28;True;['french'];26;middle-school;Designer, graphic;['beer', 'music', 'countryside', 'archeology'];{'lat': 40.34424559835338, 'lon': 18.174907197591427};2
34;female;Christine Nichols;2003-12-15;True;['chinese', 'spanish', 'bulgarian', 'italian'];28;middle-school;Environmental consultant;[];{'lat': 40.38198340911851, 'lon': 18.173378831708288};3
35;male;Daniel Perez;1980-10-13;True;['italian', 'french'];30;master;Animal technologist;['music'];{'lat': 40.36699713437984, 'lon': 18.165786470444058};1
36;male;Willie Rogers;1982-04-24;True;['spanish'];26;phd;Systems developer;[];{'lat': 40.358649720289904, 'lon': 18.16378056126383};2
37;male;Oscar Payne;1969-11-27;True;['dutch'];26;master;Television floor manager;[];{'lat': 40.3604075695112, 'lon': 18.161573869060756};1
38;female;Hannah Rivera;2003-09-02;True;['italian'];28;master;Local government officer;[];{'lat': 40.36497247240833, 'lon': 18.173581152828532};1
39;female;Stephanie Erickson;2004-02-12;True;['spanish', 'dutch'];26;middle-school;Secretary/administrator;['history'];{'lat': 40.35901486939172, 'lon': 18.166553513303274};1
